[377447][12:32:43:085828][info  ] ----- RMM LOG BEGIN [PTDS DISABLED] -----
[377447][22:59:48:389976][error ] [A][Stream 0x1][Upstream 98448640B][FAILURE maximum pool size exceeded]
[377447][22:59:48:392495][error ] [A][Stream 0x1][Upstream 98448640B][FAILURE maximum pool size exceeded]
[377447][22:59:51:143596][error ] [A][Stream 0x1][Upstream 98392576B][FAILURE maximum pool size exceeded]
[377447][22:59:52:041141][error ] [A][Stream 0x1][Upstream 98392576B][FAILURE maximum pool size exceeded]
[377447][22:59:57:782549][error ] [A][Stream 0x1][Upstream 98112256B][FAILURE maximum pool size exceeded]
[377447][22:59:57:785060][error ] [A][Stream 0x1][Upstream 98112256B][FAILURE maximum pool size exceeded]
[377447][23:00:03:865428][error ] [A][Stream 0x1][Upstream 98056192B][FAILURE maximum pool size exceeded]
[377447][23:00:03:867849][error ] [A][Stream 0x1][Upstream 98056192B][FAILURE maximum pool size exceeded]
[377447][23:00:04:779921][error ] [A][Stream 0x1][Upstream 98056192B][FAILURE maximum pool size exceeded]
[377447][23:00:07:583163][error ] [A][Stream 0x1][Upstream 98000128B][FAILURE maximum pool size exceeded]
[377447][23:00:10:581812][error ] [A][Stream 0x1][Upstream 98392576B][FAILURE maximum pool size exceeded]
[377447][23:00:11:507726][error ] [A][Stream 0x1][Upstream 98392576B][FAILURE maximum pool size exceeded]
[377447][23:00:14:252198][error ] [A][Stream 0x1][Upstream 98336512B][FAILURE maximum pool size exceeded]
[377447][23:00:15:167817][error ] [A][Stream 0x1][Upstream 98336512B][FAILURE maximum pool size exceeded]
[377447][23:00:17:745433][error ] [A][Stream 0x1][Upstream 98392576B][FAILURE maximum pool size exceeded]
[377447][23:00:18:649833][error ] [A][Stream 0x1][Upstream 98392576B][FAILURE maximum pool size exceeded]
[377447][23:00:21:259601][error ] [A][Stream 0x1][Upstream 98617088B][FAILURE maximum pool size exceeded]
[377447][23:00:22:172744][error ] [A][Stream 0x1][Upstream 98617088B][FAILURE maximum pool size exceeded]
[377447][23:00:46:755323][error ] [A][Stream 0x1][Upstream 97106176B][FAILURE maximum pool size exceeded]
[377447][23:00:46:757960][error ] [A][Stream 0x1][Upstream 97106176B][FAILURE maximum pool size exceeded]
[377447][23:00:49:707176][error ] [A][Stream 0x1][Upstream 97329152B][FAILURE maximum pool size exceeded]
[377447][23:00:50:650731][error ] [A][Stream 0x1][Upstream 97329152B][FAILURE maximum pool size exceeded]
[377447][23:00:53:416064][error ] [A][Stream 0x1][Upstream 97273600B][FAILURE maximum pool size exceeded]
[377447][23:00:54:354867][error ] [A][Stream 0x1][Upstream 97273600B][FAILURE maximum pool size exceeded]
[377447][23:00:57:102816][error ] [A][Stream 0x1][Upstream 97385216B][FAILURE maximum pool size exceeded]
[377447][23:00:58:023533][error ] [A][Stream 0x1][Upstream 97385216B][FAILURE maximum pool size exceeded]
